,Track Name,Artist,URL,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
98,Erase Your Social,Lil Uzi Vert,https://open.spotify.com/track/4uhvMW7ly7tJil31YYscAN,4uhvMW7ly7tJil31YYscAN,0.694,0.705,199993,0.609,0.0,3,0.234,-5.728,1,0.0729,140.058,4,0.718
99,Never Be Like You,Flume,https://open.spotify.com/track/12REd1n8PeiHHWOh066tpr,12REd1n8PeiHHWOh066tpr,0.436,0.494,233337,0.559,0.0,0,0.164,-5.445,1,0.0565,119.247,4,0.264
100,The Mack,Nevada,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO,7aV2mflaASUmGhCErm7kBO,0.0707,0.707,167038,0.883,0.0,0,0.23,-4.281,1,0.0602,106.031,4,0.541
101,Gold,Kiiara,https://open.spotify.com/track/6WhzFzROw3aq3rPWjgYlxr,6WhzFzROw3aq3rPWjgYlxr,0.615,0.6,225882,0.412,0.0025,8,0.134,-9.343,1,0.344,113.049,5,0.408
102,Exchange,Bryson Tiller,https://open.spotify.com/track/43PuMrRfbyyuz4QpZ3oAwN,43PuMrRfbyyuz4QpZ3oAwN,0.108,0.53,194613,0.433,0.0,6,0.135,-10.598,1,0.185,160.14,4,0.274
103,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn,3bidbhpOYeV4knp8AIu8Xn,0.0291,0.641,258343,0.922,0.0,2,0.0862,-4.457,1,0.0786,146.078,4,0.847
104,You Make My Dreams - Remastered,Daryl Hall & John Oates,https://open.spotify.com/track/4o6BgsqLIBViaGVbx5rbRk,4o6BgsqLIBViaGVbx5rbRk,0.251,0.748,190733,0.652,0.0598,5,0.0408,-6.851,1,0.0594,167.17,4,0.859
105,Die For You,The Weeknd,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3,2LBqCSwhJGcFQeTHMVGwy3,0.0975,0.599,260253,0.511,0.0,1,0.147,-7.136,0,0.0615,133.496,4,0.502
106,Selfish,PnB Rock,https://open.spotify.com/track/2xbI8Vmyv3TkpTdywpPyNw,2xbI8Vmyv3TkpTdywpPyNw,0.114,0.638,245604,0.6,0.0,1,0.187,-5.84,0,0.0438,101.981,4,0.0399
107,Weak,AJR,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,3E2Zh20GDCR9B1EYjfXWyv,0.137,0.673,201160,0.637,0.0,5,0.184,-4.518,1,0.0429,123.98,4,0.678
108,Come and See Me (feat. Drake),PARTYNEXTDOOR,https://open.spotify.com/track/1wZqJM5FGDEl3FjHDxDyQd,1wZqJM5FGDEl3FjHDxDyQd,0.0511,0.717,235477,0.347,2.43e-06,11,0.087,-10.265,0,0.0636,84.987,4,0.0589
109,Twist And Shout - Remastered 2009,The Beatles,https://open.spotify.com/track/4Z1fbYp0HuxLBje4MOZcSD,4Z1fbYp0HuxLBje4MOZcSD,0.641,0.482,155227,0.849,7.74e-06,2,0.0414,-9.198,1,0.0452,124.631,4,0.937
